# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	18219
#@/user_id	36911b7b-e7c1-441a-b6ce-954133c0c2c7
a 	啊	c=52 d=1.0149 t=17937
bu yong xie wo 	不用謝我	c=1 d=1 t=9221
bu you hao 	不友好	c=1 d=1 t=2124
bu yuan 	不願	c=1 d=1 t=12565
bu zao jiu shuo le 	不早就說了	c=1 d=1 t=11843
bu zhao 	不招	c=1 d=1 t=8613
bu zhao ji 	不着急	c=1 d=1 t=15625
bu zhen 	補幀	c=1 d=1 t=15104
bu zhi 	不知	c=0 d=0.1 t=692
bu zhi bu jue 	不知不覺	c=0 d=0.1 t=11332
bu zhi bu jue de 	不知不覺的	c=1 d=1 t=11333
bu zhi chi 	不支持	c=4 d=1.91591 t=4035
bu zhi dao 	不知道	c=16 d=1.00046 t=16471
bu zhi de 	不值得	c=4 d=1.23224 t=13133
bu zhi gong 	不知攻	c=1 d=1 t=693
bu zhi shi 	不只是	c=1 d=1 t=501
bu zhou 	步驟	c=6 d=1 t=17861
bu zhou nei 	步驟內	c=1 d=1 t=4511
ca bian 	擦邊	c=1 d=1 t=10066
cai 	才	c=1 d=0.1 t=18166
cai 	猜	c=0 d=0.1 t=11849
cai 	菜	c=2 d=1 t=14631
cai bei 	纔被	c=1 d=1 t=10928
cai cai 	猜猜	c=0 d=0.1 t=14375
cai cai wo 	猜猜我	c=1 d=1 t=14376
cai ce 	猜測	c=4 d=1.26776 t=17749
cai dan 	菜單	c=1 d=1 t=12963
cai dan lan 	菜單欄	c=1 d=1 t=12956
cai fang jia 	才放假	c=1 d=1 t=18167
cai ji 	菜雞	c=1 d=1 t=14364
cai jian 	裁剪	c=3 d=0.1 t=9163
cai jian tou xiang 	裁剪頭像	c=1 d=1 t=3957
cai jian tu pian 	裁剪圖片	c=1 d=1 t=9164
cai kan 	纔看	c=0 d=0.1 t=14252
cai kan dao 	纔看到	c=1 d=1 t=14866
cai kan shou ji 	纔看手機	c=1 d=1 t=14253
cai ling 	彩鈴	c=1 d=1 t=9588
cai ming bai 	纔明白	c=1 d=1 t=16880
cai neng 	才能	c=2 d=0.182085 t=15255
cai neng neng wan 	才能能玩	c=1 d=1 t=15256
cai se 	彩色	c=0 d=0.1 t=526
cai se de 	彩色的	c=1 d=1 t=527
cai shi 	纔是	c=1 d=1 t=17064
cai wu 	財務	c=2 d=1.14734 t=9323
cai xiang 	猜想	c=3 d=0.564597 t=17542
cai yong 	採用	c=4 d=1.83527 t=10612
cai yong de 	採用的	c=1 d=1 t=17798
can 	慘	c=2 d=1 t=12449
can kao 	參考	c=1 d=1 t=7720
can kao shu 	參考書	c=1 d=1 t=13336
can shu 	參數	c=20 d=1.9841 t=17480
can shu ming 	參數名	c=1 d=1 t=4965
can yin 	餐飲	c=7 d=1 t=14913
cang cu 	倉促	c=0 d=0.1 t=13971
cang ku 	倉庫	c=1 d=1 t=13476
cao 	槽	c=0 d=0.1 t=12949
cao 	艹	c=3 d=1.00022 t=15858
cao chang 	操場	c=3 d=0.100112 t=14477
cao chang bei 	操場被	c=1 d=1 t=14478
cao ping 	草坪	c=0 d=0.1 t=6712
cao tou le 	槽透了	c=1 d=1 t=12950
cao tu 	草圖	c=1 d=1 t=6898
cao zong 	操縱	c=1 d=1 t=13402
cao zuo 	操作	c=18 d=1.09277 t=17713
cao zuo ming cheng 	操作名稱	c=1 d=1 t=4944
ce shi 	測試	c=19 d=1.74309 t=17264
ce suo 	廁所	c=2 d=1.98511 t=10697
ce zhong 	側重	c=1 d=0.1 t=17553
ce zhong dian 	側重點	c=1 d=1 t=11621
ceng 	層	c=3 d=0.1 t=18160
ceng 	蹭	c=0 d=0.1 t=18201
ceng bu shang 	蹭不上	c=1 d=1 t=18205
ceng ce 	層測	c=1 d=1 t=6160
ceng ci 	層次	c=1 d=1 t=13377
ceng ci hua 	層次化	c=1 d=1 t=4356
ceng dun fan 	層頓飯	c=1 d=1 t=18161
ceng dun fan 	蹭頓飯	c=1 d=1 t=18202
ceng ji 	層級	c=7 d=1.78938 t=15277
cha 	插	c=1 d=1 t=15089
cha bu duo 	差不多	c=1 d=1 t=6348
cha chong 	查重	c=1 d=1 t=11000
cha de 	查的	c=0 d=0.1 t=14213
cha ji 	差集	c=2 d=1.87372 t=11070
cha jian 	插件	c=6 d=1 t=17533
cha kan 	查看	c=4 d=1.00014 t=17634
cha kan bao biao 	查看報表	c=1 d=1 t=8670
cha le 	查了	c=0 d=0.1 t=16547
cha le yi xia 	查了一下	c=1 d=1 t=16548
cha lu 	岔路	c=1 d=1 t=17118
cha pi 	叉劈	c=1 d=1 t=13655
cha qin 	查寢	c=4 d=1.79895 t=7813
cha ru 	插入	c=3 d=1 t=8986
cha xun 	查詢	c=6 d=1 t=17730
cha yi 	差異	c=1 d=1 t=5940
cha yi dian 	差一點	c=1 d=1 t=15344
cha zai 	插在	c=0 d=0.1 t=15619
cha zai zhe ge 	插在這個	c=1 d=1 t=15620
cha zhao 	查找	c=7 d=0.296912 t=15273
cha zhao lu jing 	查找路徑	c=1 d=1 t=15274
cha zhen 	插幀	c=1 d=1 t=15111
chan sheng le 	產生了	c=1 d=1 t=6954
chan za 	摻雜	c=1 d=1 t=1911
chang 	場	c=1 d=1 t=14505
chang 	長	c=2 d=0.1 t=17086
chang chang 	嘗嘗	c=1 d=1 t=11742
chang chun 	長春	c=9 d=1.01485 t=15584
chang chun gong ye 	長春工業	c=1 d=1 t=8626
chang chun shi 	長春市	c=1 d=1 t=2990
chang chun shi fan 	長春師範	c=4 d=1.00072 t=15980
chang du 	長度	c=6 d=1.02582 t=9654
chang jian 	常見	c=1 d=1 t=4875
chang jing 	場景	c=2 d=1.56553 t=13448
chang jing lu 	長頸鹿	c=1 d=1 t=10951
chang li 	常理	c=0 d=0.1 t=11535
chang li la 	常理啦	c=1 d=1 t=11536
chang liang 	常量	c=1 d=1.03166 t=5040
chang liang jie 	常量階	c=1 d=1 t=4811
chang shi 	嘗試	c=9 d=1.37932 t=18091
chang shi 	長師	c=5 d=1.01663 t=17026
chang shi 	長逝	c=1 d=1 t=10167
chang shi jian 	長時間	c=1 d=1 t=6817
chang shu 	常數	c=0 d=0.1 t=4878
chang shu xing 	常數型	c=1 d=1 t=4879
chang wei 	腸胃	c=1 d=1 t=10890
chang yong 	常用	c=1 d=1 t=16509
chao 	抄	c=6 d=1.00524 t=14342
chao chang 	超長	c=1 d=1 t=15235
chao de 	抄的	c=1 d=1 t=6339
chao ji 	超級	c=2 d=1 t=9610
chao ni 	抄你	c=1 d=1 t=11044
chao qi lai 	吵起來	c=2 d=1 t=11835
chao shen 	朝神	c=1 d=1 t=10415
chao shi 	超市	c=6 d=2.98012 t=15270
chao shi you 	抄室友	c=1 d=1 t=13271
chao wan le 	抄晚了	c=1 d=1 t=8888
chao xiao 	嘲笑	c=0 d=0.1 t=12921
chao xiao wo 	嘲笑我	c=1 d=1 t=12922
chao xing 	超星	c=7 d=1 t=14758
che 	扯	c=0 d=0.1 t=15877
che 	車	c=1 d=1 t=16902
che hui 	撤回	c=0 d=0.1 t=12608
che piao 	車票	c=1 d=1 t=9317
chen 	陳	c=1 d=1 t=8866
chen chuang 	陳創	c=1 d=1 t=9191
chen li 	陳立	c=0 d=0.1 t=317
chen li peng 	陳立鵬	c=18 d=2.45182 t=16557
chen mo de 	沉默的	c=1 d=1 t=8666
chen qin qin 	陳琴琴	c=1 d=1 t=7923
chen quan 	陳泉	c=1 d=1 t=2278
chen rui 	陳睿	c=1 d=1 t=15380
chen xi 	晨曦	c=0 d=0.1 t=3214
chen xi jie 	晨曦街	c=1 d=1 t=3215
cheng 	城	c=0 d=0.1 t=3311
cheng 	成	c=8 d=2.64995 t=17460
cheng fen 	成分	c=1 d=1 t=15427
cheng gong 	成功	c=9 d=1.91851 t=17540
cheng gong le 	成功了	c=1 d=1 t=15039
cheng gong wei 	成功爲	c=2 d=1.94649 t=3621
cheng ji 	乘積	c=1 d=1 t=4751
cheng ji 	成績	c=2 d=1.86071 t=12418
cheng jiu 	成就	c=0 d=0.1 t=6847
cheng jiu man man 	成就滿滿	c=1 d=1 t=6848
cheng pin 	成品	c=1 d=1 t=10979
cheng ren 	承認	c=2 d=1.85485 t=8620
cheng shu 	成熟	c=2 d=2.156 t=14085
cheng wei 	成爲	c=2 d=1 t=15934
cheng wei 	稱爲	c=1 d=1 t=6006
cheng xu 	程序	c=25 d=1.45784 t=8439
cheng xu she ji 	程序設計	c=3 d=1.00245 t=5842
cheng xu yuan 	程序員	c=3 d=1 t=16145
cheng xu yuan gu li shi 	程序員鼓勵師	c=1 d=1 t=1933
chi 	喫	c=19 d=1.17042 t=16923
chi cun 	尺寸	c=1 d=1 t=2410
chi de 	喫得	c=1 d=1 t=6723
chi dian 	喫點	c=0 d=0.222336 t=2977
chi dong xi 	喫東西	c=1 d=0.107597 t=2750
chi dong xi le me 	喫東西了麼	c=1 d=1 t=2751
chi fan 	喫飯	c=8 d=0.1 t=18206
chi fan le 	喫飯了	c=0 d=0.1 t=3297
chi fan qu le 	喫飯去了	c=1 d=1 t=10548
chi ji 	喫雞	c=1 d=1 t=2418
chi le 	喫了	c=1 d=0.1 t=18167
chi pi 	喫屁	c=1 d=1 t=14133
chi sha 	喫啥	c=2 d=0.1 t=14819
chi sha 	癡傻	c=1 d=1 t=3005
chi sha a 	喫啥啊	c=1 d=1 t=14820
chi shi 	喫屎	c=1 d=1 t=15358
chi wan 	喫完	c=0 d=0.1 t=9761
chi wan fan 	喫完飯	c=0 d=0.1 t=1973
chi wan fan le 	喫完飯了	c=1 d=1 t=1974
chi wan le 	喫完了	c=0 d=0.1 t=13009
chi wan le me 	喫完了麼	c=1 d=1 t=13010
chong 	寵	c=0 d=0.1 t=1844
chong 	衝	c=0 d=0.1 t=3323
chong a 	衝啊	c=1 d=1 t=11289
chong chong 	沖沖	c=0 d=0.1 t=3323
chong chong chong 	沖沖衝	c=1 d=1 t=3324
chong fa 	重發	c=2 d=2.04997 t=5321
chong fen 	充分	c=1 d=1 t=16275
chong fu 	重複	c=3 d=1 t=17711
chong mei kuang mo 	寵妹狂魔	c=1 d=1 t=1845
chong qi 	重啓	c=2 d=2.00288 t=173
chong qi le 	重啓了	c=1 d=0.939457 t=175
chong qing 	重慶	c=1 d=1 t=5155
chong shi 	重試	c=1 d=1 t=7029
chong tu 	衝突	c=1 d=1 t=5568
chong xin 	重新	c=2 d=1.09513 t=8745
chong xiu 	重修	c=1 d=1 t=11856
chong zai 	重載	c=2 d=1.00001 t=15337
chong zhi 	充值	c=1 d=1 t=9586
chou 	丑	c=0 d=0.1 t=12676
chou 	抽	c=1 d=1 t=9564
chou 	籌	c=0 d=0.1 t=9528
chou si 	愁死	c=1 d=1 t=7593
chou xiang 	抽象	c=6 d=1.47738 t=6253
chou xiang de 	抽象的	c=1 d=1 t=4273
chou xiang shu ju lei ip xiu nan gan 	抽象書聚類iPhone羞赧感	c=1 d=1 t=5782
chou xiang shu ju lei xing 	抽象数据类型	c=1 d=1 t=6111
chu 	出	c=3 d=1.00234 t=6093
chu 	初	c=1 d=1 t=18166
chu 	處	c=2 d=1.0754 t=17734
chu ban she 	出版社	c=2 d=1.00093 t=14741
chu cuo 	出錯	c=1 d=0.1 t=14781
chu cuo lv 	出错率	c=1 d=1 t=5873
chu de 	出的	c=1 d=1 t=2168
chu fa 	出發	c=2 d=1 t=14057
chu fa 	觸發	c=3 d=0.1 t=14055
chu fa 	除法	c=1 d=1 t=16586
chu fa dian 	出發點	c=1 d=1 t=14061
chu fa qi 	觸發器	c=1 d=1 t=13437
chu kou 	出口	c=1 d=1 t=5968
chu lai 	出來	c=3 d=1.00362 t=17792
chu lai de 	出來的	c=1 d=1 t=12389
chu lai shai 	出來曬	c=1 d=1 t=14482
chu le 	除了	c=3 d=1 t=12837
chu li 	處理	c=18 d=2.31727 t=17773
chu li qi 	處理器	c=2 d=1.90937 t=17958
chu li wan bi 	處理完畢	c=2 d=1.81465 t=3590
chu li wan bi hou 	處理完畢後	c=1 d=1 t=3533
chu men 	出門	c=3 d=1 t=16916
chu men le 	出門了	c=1 d=1 t=9856
chu qi 	出奇	c=1 d=1 t=12645
chu qu 	出去	c=2 d=1 t=14013
chu shen me 	出什麼	c=1 d=1 t=17131
chu shi 	初始	c=1 d=1 t=4947
chu shi hua 	初始化	c=6 d=2.6916 t=11783
chu wen ti 	出問題	c=0 d=0.1 t=124
chu wen ti le 	出問題了	c=1 d=1 t=125
chu xian 	出現	c=3 d=1 t=15071
chu zhan 	出棧	c=1 d=1 t=11787
chu zhong 	初中	c=2 d=1 t=15498
chu zu che 	出租車	c=1 d=1 t=16590
chuai 	踹	c=0 d=0.1 t=2695
chuan 	串	c=2 d=1 t=9570
chuan 	傳	c=4 d=1.01886 t=9624
chuan 	穿	c=2 d=1.65377 t=13140
chuan 	船	c=1 d=1 t=9371
chuan bu shang 	傳不上	c=1 d=1 t=6641
chuan dai 	穿戴	c=3 d=2.35937 t=9425
chuan de 	穿的	c=2 d=1 t=14433
chuan di 	傳遞	c=8 d=1 t=17512
chuan di zhi 	傳地址	c=1 d=1 t=5992
chuan dian 	穿點	c=0 d=0.1 t=1331
chuan gei 	傳給	c=1 d=1 t=8743
chuan kou 	串口	c=1 d=1 t=11088
chuan le 	傳了	c=1 d=1 t=1042
chuan piao 	船票	c=1 d=1 t=9369
chuan ru 	傳入	c=1 d=1 t=8461
chuan shu 	傳輸	c=2 d=1.09371 t=10600
chuan shuo 	傳說	c=1 d=1.06561 t=677
chuan yue 	穿越	c=1 d=1 t=9375
chuan zhi 	传值	c=7 d=1.00057 t=10800
chuan zi liao 	傳資料	c=2 d=1.96079 t=7460
chuang jian 	創建	c=15 d=1.00001 t=17392
chuang jian jie guo 	創建結果	c=1 d=1 t=3609
chuang jian mu biao 	創建目標	c=1 d=1 t=3606
chuang jian shi jian 	創建時間	c=1 d=1 t=723
chuang jiang 	闖將	c=1 d=1 t=128
chuang kou 	窗口	c=7 d=2.77842 t=11115
chuang zao 	創造	c=1 d=1 t=3077
chui 	吹	c=0 d=0.1 t=15518
chui bao 	鎚爆	c=1 d=1 t=5468
chui niu 	吹牛	c=0 d=0.1 t=15762
chui niu bi 	吹牛比	c=1 d=1 t=15763
chui zhi 	垂直	c=1 d=1 t=5633
chui zi 	錘子	c=4 d=1 t=7647
chun 	春	c=1 d=1 t=16061
chun 	純	c=1 d=1.00081 t=9979
chun cheng 	春城	c=1 d=1 t=8278
chun wan 	春晚	c=1 d=1 t=15262
chun wen ben 	純文本	c=1 d=1 t=9017
chun yin yue 	純音樂	c=1 d=1 t=3030
chun zhao 	春招	c=1 d=1 t=2845
ci 	次	c=3 d=1 t=17880
ci 	此	c=1 d=1 t=17275
ci chu 	此處	c=2 d=1 t=17750
ci de 	次的	c=1 d=1 t=17597
ci hui liang 	詞彙量	c=2 d=1.97531 t=15412
ci sha 	刺殺	c=1 d=1 t=12110
ci shu 	次數	c=2 d=1.08613 t=4782
ci xu 	次序	c=1 d=1 t=4991
cong 	從	c=3 d=0.1 t=17963
cong duo ge 	從多個	c=1 d=1 t=5513
cong er 	從而	c=1 d=1 t=17833
cong lai 	從來	c=1 d=1 t=13646
cong mei 	從沒	c=1 d=1 t=13129
cong rong 	從容	c=1 d=1 t=5330
cong shang mian 	從上面	c=1 d=1 t=17964
cong suan fa 	從算法	c=1 d=1 t=6145
cong zhong 	從中	c=1 d=1 t=4785
cou 	湊	c=0 d=0.1 t=15493
cou ge re nao 	湊個熱鬧	c=1 d=1 t=15494
cou zai 	湊在	c=1 d=1 t=16922
cui 	脆	c=0 d=0.1 t=15330
cui can 	摧殘	c=1 d=1 t=9844
cun 	存	c=1 d=0.1 t=13614
cun 	村	c=4 d=1.83946 t=16564
cun bu xia 	存不下	c=1 d=1 t=13615
cun chu 	存儲	c=20 d=1.00256 t=14945
cun chu fang shi 	存儲方式	c=1 d=1 t=6088
cun chu jie gou 	存儲結構	c=3 d=1.0005 t=6077
cun chu kong jian 	存儲空間	c=1 d=1 t=11734
cun chu wen jian 	存储文件	c=1 d=1 t=3580
cun fang 	存放	c=4 d=3.22872 t=3600
cun fang lu jing 	存放路徑	c=3 d=2.39826 t=3658
cun fang zai 	存放在	c=1 d=1 t=6089
cun shu 	村塾	c=0 d=0.1 t=4409
cun shu jie gou 	村塾結構	c=1 d=1 t=4410
cun zai 	存在	c=13 d=2.00164 t=17766
cuo 	錯	c=1 d=1 t=692
cuo guo 	錯過	c=1 d=1 t=16901
cuo guo le 	錯過了	c=1 d=1 t=11503
cuo jue 	錯覺	c=0 d=0.1 t=12532
cuo jue me 	錯覺麼	c=1 d=1 t=12533
cuo le 	錯了	c=1 d=1 t=1946
cuo wu 	錯誤	c=8 d=2.59711 t=11810
cuo zhe 	挫折	c=1 d=1 t=12377
da 	噠	c=2 d=1 t=16082
da 	大	c=6 d=1.00064 t=13644
da 	打	c=2 d=0.108671 t=17560
da 	答	c=9 d=1 t=13630
da an 	答案	c=4 d=1.03316 t=16488
da bao 	打爆	c=4 d=1 t=14849
da bu 	打不	c=0 d=0.1 t=1469
da bu da 	打不打	c=1 d=1 t=1470
da bu fen 	大部分	c=1 d=1 t=13752
da bu kai 	打不開	c=1 d=1 t=19
da bu liu 	大卜溜	c=1 d=1 t=15806
da che 	打車	c=1 d=1 t=9461
da chu 	大廚	c=0 d=0.1 t=1239
da chuang 	大创	c=3 d=2.87648 t=8602
da cuo te cuo 	大錯特錯	c=1 d=1 t=2888
da dian hua 	打電話	c=4 d=2.12724 t=2831
da duan 	打斷	c=1 d=1 t=7825
da duo 	大多	c=1 d=1 t=13970
da er 	大二	c=1 d=1 t=15323
da fang che 	大房車	c=1 d=1 t=3889
da fu du 	大幅度	c=0 d=0.1 t=2842
da fu du shi fa dian suo fa 	大幅度是發電所發	c=1 d=1 t=2843
da gai 	大概	c=5 d=1.00012 t=17942
da gai hui 	大概會	c=0 d=0.1 t=17420
da gai ji dian 	大概幾點	c=1 d=1 t=12083
da gai shi 	大概是	c=1 d=1 t=2077
da gai si lu 	大概思路	c=1 d=1 t=15772
da gai wan fan de 	大概晚飯的	c=1 d=1 t=8018
da gai zhe yang 	大概這樣	c=1 d=1 t=7073
da gang 	大綱	c=1 d=1 t=16600
da ge 	大哥	c=3 d=1.0061 t=14841
da gong 	打工	c=1 d=1 t=16121
da gong ren 	打工人	c=1 d=1 t=16793
da gou 	大沟	c=1 d=1 t=15541
da ji 	打擊	c=1 d=1 t=11217
da jia 	大家	c=2 d=1.05234 t=2092
da jia 	打架	c=1 d=1 t=5184
da jian 	搭建	c=1 d=0.100396 t=2059
da jie 	大街	c=1 d=1 t=9345
da ka 	打卡	c=1 d=1 t=8231
da kai 	打開	c=12 d=1 t=15727
da kai ta 	打開他	c=1 d=1 t=2114
da kai wang ye 	打開網頁	c=1 d=1 t=4047
da lao 	大佬	c=3 d=1.34473 t=15041
da lao men 	大佬們	c=3 d=1 t=14877
da lao yuan 	大老遠	c=0 d=0.1 t=18213
da le 	大了	c=2 d=1 t=13660
da li 	达利	c=0 d=0.1 t=9178
da li yuan 	达利園	c=2 d=1.99501 t=9180
da liang 	大量	c=1 d=1 t=13535
da ma 	大媽	c=1 d=1 t=17718
da mian ji 	大面積	c=1 d=1 t=11937
da rao le 	打擾了	c=0 d=0.1 t=3959
da ren 	達人	c=1 d=1 t=13192
da sa 	搭撒	c=2 d=2.01766 t=1351
da sa da 	搭撒大	c=3 d=0.1 t=8918
da sa da sa 	搭撒大撒	c=2 d=1.23812 t=1348
da san 	打散	c=0 d=0.1 t=1854
da shang 	打上	c=1 d=1 t=6839
da shang 	打賞	c=1 d=1 t=9510
da shang chang 	大商場	c=1 d=1 t=17933
da she 	大舍	c=0 d=0.1 t=2633
da she zhang 	大舍長	c=1 d=1 t=2634
da sheng 	大聲	c=1 d=1 t=5085
da sheng lang du 	大聲朗讀	c=2 d=1 t=7395
da shi dai 	大時代	c=0 d=0.388539 t=1035
da shi dai sa a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a 	大時代撒啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=1 t=1036
da shi tou 	大石頭	c=1 d=1 t=12219
da shu 	大叔	c=1 d=1 t=2621
da shu ju 	大数据	c=3 d=1 t=13501
da suan 	打算	c=4 d=1.75201 t=18201
da suan da shi dai 	打算大時代	c=1 d=1 t=1035
da suan de sa dan 	打算的撒旦	c=1 d=1.02774 t=1056
da suan kao yi ge 	打算考一個	c=1 d=1 t=15675
da suan qu 	打算去	c=1 d=1 t=15680
da tong 	大同	c=0 d=0.1 t=15163
da tong meng 	大同夢	c=1 d=1 t=15164
da tuan 	打團	c=2 d=1.97531 t=15259
da wen jian 	大文件	c=1 d=1 t=134
da wo 	打我	c=1 d=1 t=11232
da xiao 	大小	c=10 d=1 t=16591
da xing 	大型	c=1 d=1.09851 t=13504
da xing de 	大型的	c=1 d=1 t=13502
da xue 	大學	c=11 d=1.05727 t=16553
da xue ke cheng 	大學課程	c=1 d=1 t=6595
da xue sheng 	大學生	c=3 d=1.14547 t=16556
da yi 	答疑	c=1 d=1 t=4005
da yi miao 	打疫苗	c=1 d=1 t=17561
da yin 	打印	c=3 d=2.93131 t=17903
da yin chu lai 	打印出來	c=1 d=1 t=17885
da you xi 	打遊戲	c=1 d=0.1 t=14850
da zao 	大早	c=0 d=0.1 t=8901
da zao shan 	答造山	c=1 d=1 t=8901
da zao shang 	大早上	c=1 d=1 t=8902
da zhan 	大戰	c=2 d=1.00003 t=10901
da zhe 	打着	c=1 d=1 t=8311
da zhi shang 	大致上	c=0 d=0.1 t=4726
da zhi shang deng yu 	大致上等於	c=1 d=1 t=4727
da zhuang ji 	打樁機	c=1 d=1 t=8767
dai 	帶	c=0 d=0.1 t=15300
dai chu 	帶出	c=2 d=1 t=15011
dai dian 	帶點	c=1 d=1 t=2973
dai jia 	代價	c=2 d=1.08381 t=6174
dai kou zhao 	戴口罩	c=1 d=1 t=16713
dai li 	代理	c=3 d=1 t=14241
dai ma 	代碼	c=25 d=3.02552 t=17719
dai ma sha 	代碼啥	c=1 d=1 t=14633
dai ti 	代替	c=1 d=1 t=5994
dai you 	帶有	c=1 d=1.09048 t=4213
dai zhe 	帶着	c=1 d=1 t=14480
dai zhe 	待着	c=0 d=0.1 t=14158
dai zhe le 	待着了	c=1 d=1 t=14159
dan 	但	c=2 d=0.1 t=17641
dan 	蛋	c=0 d=0.1 t=10002
dan chu 	淡出	c=2 d=1 t=9977
dan dang 	擔當	c=0 d=0.1 t=16032
dan dou bi xu 	但都必須	c=1 d=1 t=6091
dan fan 	但凡	c=2 d=1.00196 t=15363
dan gao 	蛋糕	c=3 d=1.0001 t=9439
dan ge 	單個	c=2 d=1.92774 t=3678
dan hou lai 	但後來	c=1 d=1 t=12873
dan huang 	淡黃	c=2 d=1.99005 t=10421
dan huang 	蛋黃	c=0 d=0.1 t=10417
dan huang de 	蛋黃的	c=1 d=1 t=10418
dan mu 	彈幕	c=2 d=1.99005 t=4010
dan mu jiao hu 	彈幕交互	c=1 d=1 t=636
dan qian yu yan 	但錢語言	c=1 d=1 t=17642
dan ru dan chu 	單入單出	c=3 d=2.48558 t=5946
dan ru dan chu 	淡入淡出	c=4 d=1.84654 t=3705
dan ru dan chu shi jian 	淡入淡出時間	c=2 d=1.98511 t=3050
dan shen 	單身	c=1 d=1 t=7953
dan shen ri ji 	单身日记	c=1 d=1 t=12005
dan shi 	但是	c=78 d=2.3472 t=17817
dan shuang 	單雙	c=0 d=0.1 t=3255
dan shuang zhou 	單雙周	c=1 d=1 t=3256
dan tou 	彈頭	c=0 d=0.1 t=6899
dan wei 	單位	c=4 d=2.09658 t=7182
dan xiang 	單向	c=1 d=1 t=5997
dan yi 	單一	c=1 d=1 t=5338
dan yuan 	但願	c=1 d=1 t=13652
dan yuan 	單元	c=2 d=1.96561 t=5886
dang 	當	c=9 d=1.18007 t=17731
dang 	黨	c=0 d=0.1 t=962
dang bing 	當兵	c=1 d=1 t=14338
dang chu 	當初	c=1 d=1 t=13913
dang dang 	噹噹	c=1 d=1 t=9463
dang ni 	當你	c=7 d=1.01763 t=12166
dang peng you 	當朋友	c=1 d=1 t=13919
dang qian 	當前	c=6 d=1.92035 t=17643
dang qian biao shi 	當前表示	c=1 d=1 t=16367
dang qian tu pian 	當前圖片	c=1 d=1 t=192
dang ran 	當然	c=1 d=1 t=1948
dang shen me 	當什麼	c=1 d=1 t=17081
dang shi 	當時	c=5 d=1 t=16907
dang shi yong 	當使用	c=2 d=1.99501 t=17678
dang wo 	當我	c=2 d=1.82283 t=11466
dang xia 	當下	c=2 d=1 t=17092
dang ye mian 	當頁面	c=1 d=1 t=7065
dang zhong jie zhe 	當終結者	c=1 d=1 t=1520
dang zui hou 	當最後	c=1 d=1 t=14108
dang zuo 	當作	c=0 d=0.1 t=1586
dao 	到	c=25 d=0.15971 t=18004
dao ben di 	到本地	c=2 d=1 t=6961
dao che 	倒車	c=0 d=0.1 t=334
dao dao 	叨叨	c=1 d=1 t=1399
dao de 	到的	c=1 d=1 t=17581
dao de 	道德	c=1 d=1 t=8403
dao dian 	到點	c=0 d=0.1 t=3320
dao dian le 	到點了	c=1 d=1 t=3321
dao gou 	導購	c=1 d=1 t=17083
dao hang 	導航	c=1 d=1 t=304
dao hou 	道候	c=0 d=0.1 t=6607
dao hou mian 	道候麪	c=1 d=1 t=6608
dao le 	到了	c=3 d=1 t=16166
dao li 	道理	c=3 d=1 t=17127
dao li ba 	道理吧	c=1 d=1 t=11390
dao li shi 	道理是	c=1 d=1 t=11868
dao mei 	倒霉	c=1 d=1 t=1814
dao mei dan 	倒黴蛋	c=2 d=1.92312 t=9934
dao mu biao zi yuan 	到目標資源	c=1 d=1 t=16390
dao qi 	到期	c=1 d=1 t=16149
dao qian 	道歉	c=0 d=0.1 t=16504
dao qian xin 	道歉信	c=1 d=1 t=16505
dao shi 	導師	c=1 d=1 t=12665
dao shi hou 	到時候	c=1 d=1 t=12846
dao shi jian 	到時間	c=1 d=1 t=2421
dao xian zai 	到現在	c=0 d=0.1 t=12948
dao yuan 	導員	c=1 d=1 t=16113
dao zhi 	導致	c=0 d=0.1 t=16349
dao zhuan mai dian 	到專賣店	c=1 d=1 t=18005
de 	得	c=3 d=1.00038 t=11372
de 	德	c=0 d=0.1 t=3213
de 	的	c=905 d=12.5851 t=18186
de ba 	的吧	c=0 d=0.1 t=5420
de bing 	得病	c=1 d=1 t=5193
de chu 	得出	c=1 d=1 t=8398
de dao 	得到	c=1 d=0.100034 t=6846
de dao ji lu 	得到記錄	c=1 d=1 t=6847
de fang 	地方	c=2 d=1.00024 t=11017
de ge 	得個	c=1 d=1 t=8592
de hua 	的話	c=1 d=1 t=17651
de le 	得了	c=0 d=0.1 t=667
de le ba 	得了吧	c=2 d=1 t=13194
de le yi ge 	得了一個	c=1 d=1 t=668
de mei yi tian 	的每一天	c=1 d=1 t=6845
de ren xin 	得人心	c=1 d=1 t=6583
de sa da shi dai sa 	的撒大時代撒	c=1 d=1 t=1038
de sa da shi dai sa da shi dai 	的撒大時代撒大時代	c=1 d=1 t=1039
de sa dan 	的撒旦	c=8 d=4.14339 t=1351
